"","Parameter Abbrev.","Year1AGM","Year1sd","Year1Median","Year2AGM","Year2sd","Year2Median"
"1","chla_n",3.75,1.79,3.3,4.43,1.53,4.35
"2","feccol_cfu",6.06,2.1,7,5.82,2.22,6
"3","tn",0.63,1.31,0.65,0.59,1.24,0.59
"4","tp",0.07,1.34,0.07,0.06,1.21,0.06
