"","Parameter Abbrev.","Year1AGM","Year1sd","Year2AGM","Year2sd"
"1","CHLa_C",41.42,1.55,15.43,2.87
"2","DO_p",65.81,1.37,79.16,1.28
"3","ENTERO",26.32,2.56,18.25,3.61
"4","FECCOL",74.19,9.57,12.25,2.25
"5","TN",2.24,1.25,1.5,1.64
"6","TP",0.12,1.63,0.07,1.79
