"","Parameter Abbrev.","Year1AGM","Year1sd","Year1Median","Year2AGM","Year2sd","Year2Median"
"1","CHLa_C",6.68,1.72,5.65,6.03,1.52,5.5
"2","DO_p",70.64,1.34,78.6,75.21,1.17,77.75
"3","ENTERO",14.39,2.07,10,10.93,1.34,10
"4","FECCOL",10.13,3.65,9,10.03,1.74,10
"5","TN",0.76,1.45,0.79,0.55,1.86,0.51
"6","TP",0.06,1.73,0.06,0.05,1.42,0.05
