"","Site","September 2018","February 2019"
"1","GL1",0.008,0.008
"2","GL2",0.008,0.008
"3","Lake Middle",0.008,0.008
"4","GL4",0.008,0.008
"5","GR1",0.008,0.008
"6","Guana River",0.008,0.008
"7","GR3",0.008,0.008
