"","Site","September 2018","February 2019"
"1","GL1",1.6,2.1
"2","GL2",1.4,1.5
"3","Lake Middle",0.87,1.2
"4","GL4",0.51,0.69
"5","GR1",0.26,0.38
"6","Guana River",0.22,0.3
"7","GR3",0.22,0.19
