"","site","date_sampled","f_record","x2_4_d","f_2_4_d","aceta","f_aceta","alkalinity","f_alkalinity","atemp","f_atemp","bac_r","f_bac_r","bentazon","f_bentazon","carbamazepine","f_carbamazepine","ch_la_c","f_ch_la_c","ch_la_un_c","f_ch_la_un_c","ch_lb_tri_n","f_ch_lb_tri_n","ch_lc_tri_n","f_ch_lc_tri_n","phea","f_phea","dg3","f_dg3","diuron","f_diuron","do","f_do","do_p","f_do_p","entero","f_entero","feccol","f_feccol","fenuron","f_fenuron","fluoride","f_fluoride","fluridone","f_fluridone","gfd","f_gfd","gull2","f_gull2","hf183","f_hf183","hydrocodone","f_hydrocodone","ibuprofen","f_ibuprofen","imazapyr","f_imazapyr","imidacloprid","f_imidacloprid","linuron","f_linuron","mcpp","f_mcpp","naproxen","f_naproxen","nh4_n","f_nh4_n","no23f","f_no23f","tn_calc","f_tn_calc","din","f_din","ton","f_ton","don","f_don","tkn","f_tkn","tn","f_tn","dtkn","f_dtkn","od664b_od665a","f_od664b_od665a","p_h","f_p_h","primidone","f_primidone","pyraclostrobin","f_pyraclostrobin","salt","f_salt","secchi","f_secchi","sp_cond","f_sp_cond","sucra","f_sucra","tp","f_tp","triclopyr","f_triclopyr","tss","f_tss","turbidity","f_turbidity","w_br_ic","f_w_br_ic","w_cl_ic","f_w_cl_ic","w_color","f_w_color","w_so4_ic","f_w_so4_ic","w_tds","f_w_tds","w_toc","f_w_toc","wdepth","f_wdepth","wind_d","f_wind_d","wind_s","f_wind_s","wtem","f_wtem"
"11","Micklers","2018-05-30 14:30:00"," "," "," "," "," "," "," ","25.2"," "," "," "," "," "," "," ","2.4"," ","3"," ","2","U","2","U","2","U"," "," "," "," ","6.02"," ","75.4"," ","10","U","5","U"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0.148"," ","0.01","U","1"," ","0.158"," ","0.842"," ","0.722"," ","0.99"," ","1"," ","0.87"," ","1.52"," ","7.36"," "," "," "," "," ","0.35"," "," "," ","718"," "," "," ","0.095"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","1.1"," ","26.7"," "
"12","Micklers","2018-06-11 11:47:00"," "," "," "," "," "," "," ","30.5"," "," "," "," "," "," "," ","2.1"," ","2.6"," ","2","U","2","U","2","U"," "," "," "," ","6.31"," ","80.1"," ","10","U","10","U"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0.027"," ","0.01","U","0.88"," ","0.037"," ","0.843"," ","0.893"," ","0.87"," ","0.87"," ","0.92"," ","1.51"," ","7.47"," "," "," "," "," ","0.36"," "," "," ","745"," "," "," ","0.0896"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0.3"," ","27.1"," "
"13","Micklers","2018-07-11 15:20:00"," "," "," "," "," "," "," ","31.6"," "," "," "," "," "," "," ","2.5"," ","3.7"," ","1.1","U","1.1","U","1.8"," "," "," "," "," ","8.8"," ","120.7"," ","10","U","10","U"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0.024"," ","0.01","U","2.34"," ","0.034"," ","2.306"," ","0.936"," ","2.33"," ","2.33"," ","0.96"," ","1.41"," ","7.85"," "," "," "," "," ","0.38"," "," "," ","780"," "," "," ","0.035"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","1.03048780487805","converted from ft (ft/3.28)"," "," ","1.5"," ","31.1"," "
"14","Micklers","2018-08-08 12:41:00"," "," "," "," "," "," "," ","32.4"," "," "," "," "," "," "," ","3.8"," ","4.4"," ","2","U","2","U","2","U"," "," "," "," ","4.58"," ","61.7"," ","63"," ","10","U"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0.027"," ","0.01","U","1"," ","0.037"," ","0.963"," ","1.353"," ","0.99"," ","1"," ","1.38"," ","1.59"," ","7.22"," "," "," "," "," ","0.37"," "," "," ","759"," "," "," ","0.078"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0.914634146341463","converted from ft (ft/3.28)"," "," ","0.8"," ","31"," "
"15","Micklers","2018-09-06 14:57:00"," "," "," "," "," "," "," ","29.3"," "," "," "," "," "," "," ","3.1"," ","5.7"," ","2.5"," ","4.1"," ","4.6"," "," "," "," "," ","5.31"," ","70.1"," ","41"," ","40","B"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0.041"," ","0.01","U","0.87"," ","0.051"," ","0.819"," ","0.669"," ","0.86"," ","0.86"," ","0.71"," ","1.28","V","7.27"," "," "," "," "," ","0.3"," "," "," ","620"," "," "," ","0.0625"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","1.1280487804878","converted from ft (ft/3.28)"," "," ","2.5"," ","29.9"," "
"16","Micklers","2018-10-22 13:55:00"," "," "," "," "," "," "," ","25.7"," "," "," "," "," "," "," ","3"," ","3.3"," ","2.3","U","2.3","U","2.3","U"," "," "," "," ","3.08"," ","35.1"," ","20"," ","10","U"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0.06"," ","0.015"," ","1.045"," ","0.075"," ","0.97"," ","1.02"," ","1.03"," ","1.04"," ","1.08"," ","1.6"," ","7.19"," "," "," "," "," ","0.38"," "," "," ","784"," "," "," ","0.0281"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","1.03658536585366","converted from ft (ft/3.28)"," "," ","1.6"," ","21.2"," "
"17","Micklers","2018-11-07 13:39:00"," "," "," "," "," "," "," ","26.8"," "," "," "," "," "," "," ","2.3","U","2.6"," ","2.3","U","2.3","U","2.3","U"," "," "," "," ","2.2"," ","26"," ","10","U","70","B"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0.077"," ","0.014"," ","0.934"," ","0.091"," ","0.843"," ","1.063"," ","0.92"," ","0.93"," ","1.14"," ","1.42"," ","7.38"," "," "," "," "," ","0.41"," "," "," ","836"," "," "," ","0.0558"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","1.00609756097561","converted from ft (ft/3.28)"," "," ","1.5"," ","23.9"," "
"18","Micklers","2018-12-05 14:22:00"," "," "," "," "," "," "," ","13.4"," "," "," "," "," "," "," ","2.3","U","3.3"," ","2.3","U","3.5"," ","2.9"," "," "," "," "," ","6.2"," ","61.2"," ","10"," ","9","B"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0.037","V","0.01","U","0.85"," ","0.047"," ","0.803"," ","0.743"," ","0.84"," ","0.84","calculated","0.78"," ","1.25"," ","7.14"," "," "," "," "," ","0.32"," "," "," ","663"," "," "," ","0.059"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","4.8"," "," "," ","2.8"," ","14.9"," "
"19","Micklers","2019-01-22 15:15:00"," "," "," "," "," "," "," ","18.61111","converted from 65.5 F"," "," "," "," "," "," ","2","U","2","U","2","U","2","U","2","U"," "," "," "," ","12.05"," ","117"," ","10","U","18","B"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0.047"," ","0.01","U","0.89"," ","0.057"," ","0.833"," ","0.823"," ","0.88"," ","0.88"," ","0.87"," ","1.43"," ","7.87"," "," "," "," "," ","0.36"," "," "," ","738"," "," "," ","0.0579"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","1.3716","converted from ft (ft/3.28)"," "," ","0.89408","converted from 2.0 mph","13.9"," "
"20","Micklers","2019-02-04 16:10:00"," "," "," "," "," "," "," ","15.5"," "," "," "," "," "," "," ","2","U","2.1"," ","2","U","2","U","2","U"," "," "," "," ","8.67"," ","88.6"," ","10"," ","10","U"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0.038"," ","0.01","U","1.33"," ","0.048"," ","1.282"," ","0.612"," ","1.32"," ","1.32"," ","0.65"," ","1.29"," ","7.3"," "," "," "," "," ","0.32"," "," "," ","648"," "," "," ","0.0821"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","1.03632","converted from ft (ft/3.28)
"," "," ","0.5"," ","16.3"," "
