"","site","date_sampled","f_record","x2_4_d","f_2_4_d","aceta","f_aceta","alkalinity","f_alkalinity","atemp","f_atemp","bac_r","f_bac_r","bentazon","f_bentazon","carbamazepine","f_carbamazepine","ch_la_c","f_ch_la_c","ch_la_un_c","f_ch_la_un_c","ch_lb_tri_n","f_ch_lb_tri_n","ch_lc_tri_n","f_ch_lc_tri_n","phea","f_phea","dg3","f_dg3","diuron","f_diuron","do","f_do","do_p","f_do_p","entero","f_entero","feccol","f_feccol","fenuron","f_fenuron","fluoride","f_fluoride","fluridone","f_fluridone","gfd","f_gfd","gull2","f_gull2","hf183","f_hf183","hydrocodone","f_hydrocodone","ibuprofen","f_ibuprofen","imazapyr","f_imazapyr","imidacloprid","f_imidacloprid","linuron","f_linuron","mcpp","f_mcpp","naproxen","f_naproxen","nh4_n","f_nh4_n","no23f","f_no23f","tn_calc","f_tn_calc","din","f_din","ton","f_ton","don","f_don","tkn","f_tkn","tn","f_tn","dtkn","f_dtkn","od664b_od665a","f_od664b_od665a","p_h","f_p_h","primidone","f_primidone","pyraclostrobin","f_pyraclostrobin","salt","f_salt","secchi","f_secchi","sp_cond","f_sp_cond","sucra","f_sucra","tp","f_tp","triclopyr","f_triclopyr","tss","f_tss","turbidity","f_turbidity","w_br_ic","f_w_br_ic","w_cl_ic","f_w_cl_ic","w_color","f_w_color","w_so4_ic","f_w_so4_ic","w_tds","f_w_tds","w_toc","f_w_toc","wdepth","f_wdepth","wind_d","f_wind_d","wind_s","f_wind_s","wtem","f_wtem"
"31","GL1","2019-02-04 12:53:00"," ","0.0096"," ","0.008","U","119"," ","14"," "," "," ","0.075"," ","0.00096","I"," "," "," "," "," "," "," "," "," "," "," "," ","0.0028","I","7.32"," ","73.3"," "," "," "," "," ","0.016","U","0.18"," ","0.065"," "," "," "," "," "," "," ","0.002","U","0.02","U","0.067"," ","0.0097","J","0.004","U","0.002","U","0.008","U","0.018"," ","0.005","I","0.735"," ","0.023"," ","0.712"," ","0.812"," ","0.73"," "," "," ","0.83"," "," "," ","7.38"," ","0.0063","I","0.002","U","0.33"," "," "," ","682"," ","2.1"," ","0.092"," ","0.004","U","2","I","0.7"," "," "," "," "," "," "," "," "," "," "," ","16"," ","0.4"," "," "," ","3.5"," ","15.2"," "
"32","GL1","2019-03-04 11:40:00"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","10"," ","9","B"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"33","GL1","2019-03-04 12:03:00"," "," "," "," "," "," "," ","20.7777777777778","converted from F (F-32*5/9)"," "," "," "," "," "," ","2.4"," ","3.9"," ","2","U","2","U","2.3"," "," "," "," "," ","7.5"," ","84.8"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0.035"," ","0.01","U","0.51"," ","0.045"," ","0.465"," ","0.755"," ","0.5","U","0.5","U","0.79"," ","1.35"," ","7.53"," "," "," "," "," ","0.35"," "," "," ","720"," "," "," ","0.106"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0.56"," "," "," ","2.95037997317836","converted from mph (mph/2.237)","21.3"," "
"34","GL1","2019-04-02 12:36:00"," "," "," "," "," "," "," ","14.4"," "," "," "," "," "," "," ","4","U","4","U","4","U","4","U","4","U"," "," "," "," ","5.39"," ","62.5"," ","10","U","9","B"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0.024"," ","0.01"," ","0.98"," ","0.034"," ","0.946"," ","0.846"," ","0.97"," ","0.97"," ","0.87"," ","1.48"," ","7.5"," "," "," "," "," ","0.51"," "," "," ","1036"," "," "," ","0.141"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0.35"," "," "," ","2.5"," ","17.7"," "
"35","GL1","2019-05-02 12:14:00"," "," "," "," "," ","117"," ","26.1111111111111","converted from F ((F-32)*(5/9))"," "," "," "," "," "," ","5.4","I","6.2"," "," "," "," "," ","2.1","U"," "," "," "," ","9.72"," ","120"," ","1","UQ","18","BQ"," "," ","0.2"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0.03"," ","0.004","U","0.694"," ","0.034"," ","0.66"," ","0.46"," ","0.69"," "," "," ","0.49"," "," "," ","8.24"," "," "," "," "," ","0.36"," "," "," ","739"," "," "," ","0.069"," "," "," ","2","I","0.8"," ","0.27"," "," "," "," "," "," "," "," "," ","7"," ","0.45"," "," "," ","2.86097451944569","converted from mph (mph/2.237)","27.8"," "
"36","GL2","2018-07-11 12:22:00"," "," "," "," "," ","134"," ","32"," "," "," "," "," "," "," ","76"," ","82"," "," "," "," "," ","5.1"," "," "," "," "," ","7.21"," ","98.1"," ","330"," ","10","U"," "," ","0.27"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0.02"," ","0.004","U","2.004"," ","0.024"," ","1.98"," ","1.98"," ","2"," "," "," ","2"," "," "," ","7.97"," "," "," "," "," ","1.11"," ","0.6"," ","2198"," "," "," ","0.17"," "," "," ","26"," ","15"," "," "," "," "," "," "," "," "," "," "," ","30"," ","0.65"," "," "," ","0.8"," ","30.8"," "
"37","GL2","2018-08-08 09:50:00"," "," "," "," "," "," "," ","29.1"," "," "," "," "," "," "," ","42.1"," ","44.8"," ","4","U","4","U","4","U"," "," "," "," ","4.04"," ","53.2"," ","84"," ","30","B"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0.018"," ","0.01","U","1.63"," ","0.028"," ","1.602"," ","1.622"," ","1.62"," ","1.62"," ","1.64"," ","1.66"," ","7.88"," "," "," "," "," ","0.66"," ","0.5"," ","1332"," "," "," ","0.117"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0.58"," "," "," ","1.3"," ","29.6"," "
"38","GL2","2018-09-06 10:48:00"," ","0.16"," ","0.008","U","108"," ","28.8"," ","1500","U","0.066","J","8e-04","U","20"," ","22"," "," "," "," "," ","2.9"," ","1300","U","0.002","U","4.88"," ","63.8"," ","10","U","10","U","0.016","U","0.22"," ","0.047"," ","170","U","8400","U","140","U","8e-04","U","0.02","U","2.1"," ","0.002","U","0.004","U","0.002","U","0.008","U","0.011"," ","0.004","U","1.704"," ","0.015"," ","1.689"," ","1.489"," ","1.7"," "," "," ","1.5"," "," "," ","7.85"," ","0.004","U","0.002","U","0.65"," "," "," ","1307"," ","1.4"," ","0.064"," ","0.004","U","8","I","4.5"," "," "," "," "," "," "," "," "," "," "," ","25"," ","0.76219512195122","converted from ft (ft/3.28)"," "," ","3.8"," ","28.8"," "
"39","GL2","2018-10-22 11:23:00"," "," "," "," "," "," "," ","25.3"," "," "," "," "," "," "," ","35.1"," ","40.5"," ","5","U","5","U","6.8"," "," "," "," "," ","7.62"," ","85.1"," ","40"," ","50","B"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0.04"," ","0.01","U","2.74"," ","0.05"," ","2.69"," ","2.12"," ","2.73"," ","2.73"," ","2.16"," ","1.59"," ","8.13"," "," "," "," "," ","2.46"," ","0.4"," ","4599"," "," "," ","0.0835"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0.7"," "," "," ","2.6"," ","20.1"," "
"40","GL2","2018-11-07 11:40:00"," "," "," "," "," "," "," ","25.5"," "," "," "," "," "," "," ","25.7"," ","31.3"," ","2.5","U","2.7"," ","7.6"," "," "," "," "," ","6.29"," ","79.5"," ","10"," ","10","U"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0.053"," ","0.01","U","2.09"," ","0.063"," ","2.027"," ","2.447"," ","2.08"," ","2.08"," ","2.5"," ","1.54"," ","8.12"," "," "," "," "," ","2.89"," ","0.65"," ","5370"," "," "," ","0.0389"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0.7"," "," "," ","2.6"," ","26.2"," "
"41","GL2","2018-12-05 11:29:00"," "," "," "," "," ","100"," ","10.9"," "," "," "," "," "," "," ","5.4"," ","6.8"," "," "," "," "," ","1.9"," "," "," "," "," ","6.4"," ","64.3"," ","20"," ","10","BU"," "," ","0.2"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0.017"," ","0.004","U","1.104"," ","0.021"," ","1.083"," ","0.983"," ","1.1"," "," "," ","1"," "," "," ","7.45"," "," "," "," "," ","1.07"," ","1"," ","2091"," "," "," ","0.048"," "," "," ","4","I","2.6"," "," "," ","520"," ","99","A","95"," ","1200"," ","20"," ","0.88392","converted from ft (ft/3.28)"," "," ","2.5"," ","15.5"," "
"42","GL2","2019-01-22 13:04:00"," "," "," "," "," "," "," ","17.5","converted from 63.5 F"," "," "," "," "," "," ","10.6"," ","14.3"," ","2.3"," ","2.3"," ","5.4"," "," "," "," "," ","10.51"," ","102.2"," ","20"," ","10","U"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0.039"," ","0.01"," ","1.87"," ","0.049"," ","1.821"," ","1.121"," ","1.86"," ","1.87"," ","1.16"," ","1.46"," ","8.48"," "," "," "," "," ","2.4"," ","0.4"," ","4476"," "," "," ","0.0514"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0.82296","converted from ft (ft/3.28)"," "," ","1.65405","converted from 3.7 mph","13"," "
"43","GL2","2019-02-04 12:24:00"," ","0.0024","I","0.008","U","112"," ","14"," "," "," ","0.038"," ","8e-04","U"," "," "," "," "," "," "," "," "," "," "," "," ","0.002","U","8.1"," ","81.6"," "," "," "," "," ","0.016","U","0.21"," ","0.024"," "," "," "," "," "," "," ","0.002","U","0.02","U","0.06"," ","0.0027","I","0.004","U","0.002","U","0.008","U","0.062"," ","0.024"," ","1.224"," ","0.086"," ","1.138"," ","0.938"," ","1.2"," "," "," ","1"," "," "," ","7.92"," ","0.004","I","0.002","U","0.99"," ","0.5"," ","1931"," ","1.5"," ","0.056"," ","0.004","U","17"," ","16"," "," "," "," "," "," "," "," "," "," "," ","16"," ","0.85344","converted from ft (ft/3.28)"," "," ","3.7"," ","15.3"," "
"44","GL2","2019-03-04 11:40:00"," "," "," "," "," "," "," ","19.4444444444444","converted from F (F-32*5/9)"," "," "," "," "," "," ","9.7"," ","12"," ","2","U","2","U","3.1"," "," "," "," "," ","6.87"," ","77.8"," ","41"," ","9","B"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0.036"," ","0.1","U","1.36"," ","0.136"," ","1.224"," ","0.714"," ","1.26"," ","1.26"," ","0.75"," ","1.53"," ","7.93"," "," "," "," "," ","0.81"," ","0.7"," ","1616"," "," "," ","0.0669"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0.75"," "," "," ","3.84443451050514","converted from mph (mph/2.237)","21.2"," "
"45","GL2","2019-04-02 12:14:00"," "," "," "," "," "," "," ","13.8"," "," "," "," "," "," "," ","109"," ","123"," ","22"," ","6.7","U","18.5"," "," "," "," "," ","8.35"," ","88.5"," ","74"," ","10","U"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0.034"," ","0.01","U","2.17"," ","0.044"," ","2.126"," ","1.536"," ","2.16"," ","2.17"," ","1.57"," ","1.6"," ","7.56"," "," "," "," "," ","6.39"," ","0.3"," ","11174"," "," "," ","0.11"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0.6"," "," "," ","3"," ","17.2"," "
"46","GL2","2019-05-02 11:47:00"," "," "," "," "," ","112"," ","26.3888888888889","converted from F ((F-32)*(5/9))"," "," "," "," "," "," ","14"," ","17"," "," "," "," "," ","4","I"," "," "," "," ","6.78"," ","83.6"," ","10","UQ","600","ZQ"," "," ","0.26"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0.016"," ","0.004","U","1.904"," ","0.02"," ","1.884"," ","1.684"," ","1.9"," "," "," ","1.7"," "," "," ","8.56"," "," "," "," "," ","0.97"," ","0.4"," ","1914"," "," "," ","0.068"," "," "," ","29"," ","15"," ","1.6"," "," "," "," "," "," "," "," "," ","24"," ","0.46"," "," "," ","2.59275815824765","converted from mph (mph/2.237)","27.1"," "
"47","GL2","2019-06-03 13:03:00"," "," "," "," "," "," "," ","31.7222222222222"," "," "," "," "," "," "," ","33"," ","39"," ","10","U","10","U","10","U"," "," "," "," ","7.21"," ","105.5"," ","20"," ","10","U"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0.05"," ","0.008","U","3.708"," ","0.058"," ","3.65"," ","2.93"," ","3.7"," ","3.71"," ","2.98"," ","1.56"," ","8.43"," "," "," "," "," ","9.85"," ","0.26"," ","16978"," "," "," ","0.106"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0.45"," "," "," ","1.69870362092088"," ","32.5"," "
"48","Lake Middle","2018-01-17 12:06:00"," "," "," "," "," "," "," ","18.3333333333333","calculated from F"," "," "," "," "," "," ","21.8"," ","22.1"," ","5","U","5","U","5","U"," "," "," "," ","10.11"," ","97.6"," ","10","U","18","B"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0.024"," ","0.021"," ","2.181"," ","0.045"," ","2.136"," ","1.096"," ","2.16"," ","2.17"," ","1.12"," ","1.73"," ","8.06"," "," "," "," "," ","6.9"," ","0.4"," ","12039"," "," "," ","0.0826"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","20.1321","calculated from mph (mph*2.2369)","11.7"," "
"49","Lake Middle","2018-02-14 10:25:00"," "," "," "," "," "," "," ","15","calculated from F"," "," "," "," "," "," ","46"," ","60"," ","10","U","10","U","19"," "," "," "," "," ","9.04"," ","92.7"," ","52"," ","8","B"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0.051"," ","0.044"," ","2.364"," ","0.095"," ","2.269"," ","1.219"," ","2.32"," ","2.36"," ","1.27"," ","1.5"," ","7.44"," "," "," "," "," ","4.46"," ","0.2"," ","7998"," "," "," ","0.15"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","22.369","calculated from mph (mph*2.2369)","15.2"," "
"50","Lake Middle","2018-03-28 10:23:00"," "," "," "," "," "," "," ","20.9"," "," "," "," "," "," "," ","84"," ","101"," ","10","U","11"," ","24"," "," "," "," "," ","7.04"," ","80.4"," ","10","U","10","B"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0.041"," ","0.069"," ","2.839"," ","0.11"," ","2.729"," ","1.229"," ","2.77"," ","2.84"," ","1.27"," ","1.55","V","7.87"," "," "," "," "," ","4.7"," ","0.15"," ","8417"," "," "," ","0.168"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0.42"," "," "," ","2"," ","20.1"," "
"51","Lake Middle","2018-04-24 09:38:00"," "," "," "," "," "," "," ","21.5"," "," "," "," "," "," "," ","35"," ","42"," ","10","U","10","U","10","U"," "," "," "," ","6.37"," ","74.8"," ","73"," ","210"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0.071"," ","0.033"," ","1.743"," ","0.104"," ","1.639"," ","1.259"," ","1.71"," ","1.74"," ","1.33"," ","1.56"," ","7.46"," "," "," "," "," ","4.8"," ","0.2"," ","8606"," "," "," ","0.129"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0.7"," "," "," ","4.4"," ","21.8"," "
"52","Lake Middle","2018-05-30 12:52:00"," "," "," "," "," "," "," ","26.6"," "," "," "," "," "," "," ","44.5"," ","49.5"," ","5","U","5.9"," ","5.1"," "," "," "," "," ","5.34"," ","69.6"," ","10","U","15","B"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0.105"," ","0.059"," ","2.309"," ","0.164"," ","2.145"," ","1.135"," ","2.25"," ","2.31"," ","1.24"," ","1.63"," ","7.81"," "," "," "," "," ","6.36"," ","0.5"," ","11232"," "," "," ","0.0414"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0.823170731707317","converted from ft (ft/3.28)"," "," ","2"," ","26.6"," "
"53","Lake Middle","2018-06-11 10:25:00"," "," "," "," "," "," "," ","27.4"," "," "," "," "," "," "," ","18.7"," ","21.4"," ","2.9"," ","2","U","3.6"," "," "," "," "," ","3.7"," ","49.2"," ","10","U","10","U"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0.095"," ","0.011"," ","1.701"," ","0.106"," ","1.595"," ","1.385"," ","1.69"," ","1.7"," ","1.48"," ","1.59"," ","7.79"," "," "," "," "," ","4.74"," ","0.5"," ","8561"," "," "," ","0.0695"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0.914634146341463","converted from ft (ft/3.28)"," "," ","2.3"," ","28.4"," "
"54","Lake Middle","2018-07-11 11:45:00"," "," "," "," "," ","108"," ","32"," "," "," "," "," "," "," ","19"," ","22"," "," "," "," "," ","2.8"," "," "," "," "," ","5.2"," ","71.2"," ","10","U","10","U"," "," ","0.43"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0.25"," ","0.078"," ","1.978"," ","0.328"," ","1.65"," ","1.45"," ","1.9"," "," "," ","1.7"," "," "," ","7.6"," "," "," "," "," ","3.88"," ","0.7"," ","7131"," "," "," ","0.064"," "," "," ","24"," ","20","A"," "," "," "," "," "," "," "," "," "," ","22"," ","0.884146341463415","converted from ft (ft/3.28)"," "," ","0.6"," ","30.6"," "
"55","Lake Middle","2018-08-08 09:30:00"," "," "," "," "," "," "," ","29.2"," "," "," "," "," "," "," ","13.8"," ","16.1"," ","3.2","U","3.2","U","3.2","U"," "," "," "," ","3.65"," ","48.5"," ","10","U","10","U"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0.169"," ","0.029"," ","0.979"," ","0.198"," ","0.781"," ","2.231"," ","0.95"," ","0.97"," ","2.4"," ","1.58"," ","7.79"," "," "," "," "," ","2.43"," ","0.4"," ","4598"," "," "," ","0.1"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0.823170731707317","converted from ft (ft/3.28)"," "," ","1.5"," ","29.9"," "
"56","Lake Middle","2018-09-06 10:15:00"," ","0.002","U","0.008","U","104"," ","28.4"," ","3000","U","0.039","J","8e-04","U","19"," ","21"," "," "," "," "," ","2.5"," ","2600","U","0.002","U","5.68"," ","80"," ","10","U","10","U","0.016","U","0.39"," ","0.014"," ","170","U","17000","U","280","U","8e-04","U","0.02","U","0.11"," ","0.002","U","0.004","U","0.002","U","0.008","U","0.011"," ","0.004","U","1.804"," ","0.015"," ","1.789"," ","1.589"," ","1.8"," "," "," ","1.6"," "," "," ","8.02"," ","0.004","U","0.002","U","2.63"," ","0.5"," ","4943"," ","0.87"," ","0.11"," ","0.004","U","53"," ","29"," "," "," "," "," "," "," "," "," "," "," ","21"," ","0.823170731707317","converted from ft (ft/3.28)"," "," ","3.8"," ","28.9"," "
"57","Lake Middle","2018-10-22 11:06:00"," "," "," "," "," "," "," ","24.6"," "," "," "," "," "," "," ","57"," ","63"," ","20","U","20","U","20","U"," "," "," "," ","7.42"," ","84.3"," ","10","U","10","U"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0.078"," ","0.044"," ","2.714"," ","0.122"," ","2.592"," ","1.952"," ","2.67"," ","2.71"," ","2.03"," ","1.62"," ","8.01"," "," "," "," "," ","4.8"," ","0.2"," ","8575"," "," "," ","0.106"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0.975609756097561","converted from ft (ft/3.28)"," "," ","4"," ","20.3"," "
"58","Lake Middle","2018-11-07 11:21:00"," "," "," "," "," "," "," ","25.2"," "," "," "," "," "," "," ","38.5"," ","46.6"," ","4","U","4.5"," ","10.9"," "," "," "," "," ","7.08"," ","89.7"," ","10","U","10","U"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0.053"," ","0.037"," ","1.587"," ","0.09"," ","1.497"," ","1.467"," ","1.55"," ","1.59"," ","1.52"," ","1.55"," ","7.96"," "," "," "," "," ","5.26"," ","0.35"," ","9411"," "," "," ","0.0735"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0.823170731707317","converted from ft (ft/3.28)"," "," ","1.9"," ","25.7"," "
"59","Lake Middle","2018-12-05 11:02:00"," "," "," "," "," ","112","A","10.6"," "," "," "," "," "," "," ","24"," ","26"," "," "," "," "," ","2.4","I"," "," "," "," ","8.24"," ","87.8"," ","10","U","10","BU"," "," ","0.47"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0.009"," ","0.004","U","1.504"," ","0.013"," ","1.491"," ","1.291"," ","1.5"," "," "," ","1.3"," "," "," ","7.87"," "," "," "," "," ","9.08"," ","0.4"," ","15511"," "," "," ","0.055"," "," "," ","23","A","14"," "," "," ","4500"," ","64"," ","660"," ","8440"," ","18"," ","1.09728","converted from ft (ft/3.28)"," "," ","4.2"," ","16"," "
"60","Lake Middle","2019-01-22 12:42:00"," "," "," "," "," "," "," ","17.27778","converted from 63.1 F"," "," "," "," "," "," ","17.5"," ","20.2"," ","3.7","U","4"," ","3.7","U"," "," "," "," ","10.2"," ","97.7"," ","30"," ","9","B"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0.036"," ","0.01","U","1.8"," ","0.046"," ","1.754"," ","1.324"," ","1.79"," ","1.79"," ","1.36"," ","1.58"," ","8.66"," "," "," "," "," ","5.12"," ","0.3"," ","9110"," "," "," ","0.0482"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","1.12776","converted from ft (ft/3.28)"," "," ","1.38582","converted from3.1 mph","12.8"," "
"61","Lake Middle","2019-02-04 12:00:00"," ","0.002","U","0.008","U","105"," ","14.7"," "," "," ","0.025"," ","8e-04","U"," "," "," "," "," "," "," "," "," "," "," "," ","0.002","U","8.95"," ","90.3"," "," "," "," "," ","0.016","U","0.29"," ","0.011"," "," "," "," "," "," "," ","0.002","U","0.02","U","0.056"," ","0.002","U","0.004","U","0.002","U","0.008","U","0.014"," ","0.03"," ","1.23"," ","0.044"," ","1.186"," ","0.976"," ","1.2"," "," "," ","0.99"," "," "," ","7.96"," ","0.004","U","0.002","U","3.24"," ","0.4"," ","5938"," ","1.2"," ","0.058"," ","0.004","U","36"," ","25","A"," "," "," "," "," "," "," "," "," "," ","15"," ","0.9144","converted from ft (ft/3.28)"," "," ","3.5"," ","17.9"," "
"62","Lake Middle","2019-03-04 11:01:00"," "," "," "," "," "," "," ","19.5555555555556","converted from 67.2 F (F-32*5/9)"," "," "," "," "," "," ","11.8"," ","13.6"," ","2","U","2.2"," ","2.2"," "," "," "," "," ","7.49"," ","86.7"," ","10","U","9","B"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0.041"," ","0.017"," ","1.277"," ","0.058"," ","1.219"," ","0.929"," ","1.26"," ","1.27"," ","0.97"," ","1.59"," ","7.9"," "," "," "," "," ","4.79"," ","0.5"," ","8541"," "," "," ","0.0373"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0.945121951219512","converted from ft (ft/3.28)"," "," ","2.77156906571301","converted from 6.2 mph (mph/2.237)","21.1"," "
"63","Lake Middle","2019-04-02 11:50:00"," "," "," "," "," "," "," ","14.3"," "," "," "," "," "," "," ","20.7"," ","24.1"," ","3.4"," ","3.7"," ","4.3"," "," "," "," "," ","7.54"," ","83.1"," ","20"," ","10","U"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0.066"," ","0.03"," ","1.48"," ","0.096"," ","1.384"," ","1.034"," ","1.45"," ","1.48"," ","1.1"," ","1.58"," ","7.57"," "," "," "," "," ","10.73"," ","0.4"," ","18132"," "," "," ","0.055"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0.853658536585366","converted from ft (ft/3.28)"," "," ","3.2"," ","17.6"," "
"64","Lake Middle","2019-05-02 11:21:00"," "," "," "," "," ","119"," ","25.4444444444444","converted from F ((F-32)*(5/9))"," "," "," "," "," "," ","78"," ","86"," "," "," "," "," ","8.2","I"," "," "," "," ","7.18"," ","92.5"," ","10","Q","2","UQ"," "," ","0.43"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0.015"," ","0.004","U","2.304"," ","0.019"," ","2.285"," ","1.885"," ","2.3"," "," "," ","1.9"," "," "," ","8.32"," "," "," "," "," ","4.94"," ","0.15"," ","8877"," "," "," ","0.16"," "," "," ","79"," ","70"," ","9.8"," "," "," "," "," "," "," "," "," ","23"," ","0.52"," "," "," ","3.57621814930711","converted from mph (mph/2.237)","26.2"," "
"65","Lake Middle","2019-06-03 12:42:00"," "," "," "," "," "," "," ","30.7222222222222"," "," "," "," "," "," "," ","61"," ","72"," ","10","U","10","U","14","V"," "," "," "," ","6.69"," ","98.4"," ","10","U","10","U"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0.171"," ","0.03"," ","3.16"," ","0.201"," ","2.959"," ","1.579"," ","3.13"," ","3.16"," ","1.75"," ","1.57"," ","8.14"," "," "," "," "," ","15.22"," ","0.2"," ","25202"," "," "," ","0.161"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0.5"," "," "," ","1.6092981671882"," ","31.2"," "
"66","Lake Middle","2017-07-20 10:05:00"," "," "," "," "," "," "," ","28.2"," "," "," "," "," "," "," ","36.7"," ","45.1"," ","5","U","5","U","11.7"," "," "," "," "," ","0.63","Potential sensor issues"," "," ","42"," ","700","B"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0.01","U","2.54"," "," "," "," "," "," "," ","2.53"," ","2.54"," "," "," ","1.53"," ","7.8"," "," "," "," "," ","9.57"," ","0.42"," ","16844"," "," "," ","0.186"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","5.59225","calculated from mph (mph*2.2369)","30.5"," "
